remote,ageband,sex,children,Childcare,Eating & Drinking,Exercising,Doing housework,Sleeping,Socialising & relaxing,Travelling,Working
Non-remote,18 to 34,female,does not have,0.0,61.03,12.85,13.93,486.93,153.92,70.55,485.19
Non-remote,18 to 34,female,has,88.28070175438596,45.44736842105263,5.964912280701754,22.75438596491228,483.7280701754386,111.1842105263158,72.62280701754386,473.8421052631579
Non-remote,18 to 34,male,does not have,0.0,56.36923076923077,11.284615384615385,8.438461538461539,480.53846153846155,197.83076923076922,86.5923076923077,483.95384615384614
Non-remote,18 to 34,male,has,45.63779527559055,58.889763779527556,8.755905511811024,8.464566929133857,475.81102362204723,151.20472440944883,84.7007874015748,497.6692913385827
Non-remote,35 to 54,female,does not have,0.0,62.85245901639344,10.401639344262295,16.049180327868854,466.11475409836066,132.68852459016392,75.75409836065573,507.327868852459
Non-remote,35 to 54,female,has,54.49173553719008,48.63636363636363,6.0578512396694215,20.037190082644628,460.3636363636364,120.0,94.67355371900827,486.62396694214874
Non-remote,35 to 54,male,does not have,0.0,62.51908396946565,12.16793893129771,7.969465648854962,486.70992366412213,169.72519083969465,77.1526717557252,519.2137404580153
Non-remote,35 to 54,male,has,40.38910505836576,63.5136186770428,17.365758754863812,4.233463035019455,451.9066147859922,140.21400778210116,92.4863813229572,516.0700389105058
Non-remote,55+,female,does not have,0.0,58.76315789473684,10.048245614035087,20.82894736842105,458.37719298245617,167.68421052631578,73.78508771929825,482.859649122807
Non-remote,55+,female,has,21.095238095238095,49.61904761904762,5.428571428571429,18.19047619047619,455.0,168.85714285714286,80.14285714285714,451.42857142857144
Non-remote,55+,male,does not have,0.0,67.21978021978022,10.604395604395604,6.989010989010989,462.5879120879121,190.01098901098902,81.01648351648352,490.7802197802198
Non-remote,55+,male,has,12.975609756097562,71.21951219512195,7.682926829268292,4.853658536585366,460.8048780487805,155.5121951219512,73.97560975609755,531.3170731707318
Remote,18 to 34,female,does not have,0.0,49.857142857142854,8.928571428571429,75.14285714285714,503.14285714285717,235.35714285714286,70.78571428571429,289.2857142857143
Remote,18 to 34,female,has,156.69230769230768,45.0,14.615384615384615,26.76923076923077,480.2307692307692,127.38461538461539,74.0,321.15384615384613
Remote,18 to 34,male,does not have,0.0,115.0,10.0,18.333333333333332,455.0,225.5,35.833333333333336,469.1666666666667
Remote,18 to 34,male,has,15.0,105.0,0.0,0.0,475.0,240.0,12.5,537.5
Remote,35 to 54,female,does not have,0.0,53.208333333333336,11.041666666666666,33.25,469.25,189.95833333333334,42.166666666666664,416.8333333333333
Remote,35 to 54,female,has,95.56603773584905,64.01886792452831,15.566037735849056,51.64150943396226,486.54716981132077,144.37735849056602,67.58490566037736,347.0377358490566
Remote,35 to 54,male,does not have,0.0,75.5625,16.875,25.625,502.0,242.5,36.6875,369.5625
Remote,35 to 54,male,has,97.79545454545455,69.0,17.886363636363637,10.363636363636363,485.77272727272725,168.9318181818182,60.45454545454545,416.52272727272725
Remote,55+,female,does not have,0.0,81.25,16.5625,25.291666666666668,488.1041666666667,225.97916666666666,63.895833333333336,286.7708333333333
Remote,55+,female,has,25.8,37.0,14.0,118.6,517.0,118.0,71.0,277.0
Remote,55+,male,does not have,0.0,73.54901960784314,18.529411764705884,6.078431372549019,498.0,293.3137254901961,46.05882352941177,326.3333333333333
Remote,55+,male,has,10.0,115.0,0.0,30.0,523.3333333333334,125.0,35.0,440.0
